id:ID,labels:LABEL,properties:JSON
"ux.actioncomponent",SpecNode;SpecNode_ux,"{""spec_node_id"":""ux.actioncomponent"",""layer_id"":""ux"",""type"":""actioncomponent"",""title"":""ActionComponent"",""description"":""Interactive element that triggers actions (button, menu, link, voice command)"",""required_attribute_count"":1,""total_attribute_count"":8}"
"ux.actionpattern",SpecNode;SpecNode_ux,"{""spec_node_id"":""ux.actionpattern"",""layer_id"":""ux"",""type"":""actionpattern"",""title"":""ActionPattern"",""description"":""Reusable action configuration for common user interactions. Defines the trigger, feedback mechanism, and optional target for recurring UX patterns. Example: 'confirm-and-delete' pattern — trigger: click on delete button, feedback: confirmation modal then success toast, targetRef: the item being deleted."",""required_attribute_count"":0,""total_attribute_count"":5}"
"ux.chartseries",SpecNode;SpecNode_ux,"{""spec_node_id"":""ux.chartseries"",""layer_id"":""ux"",""type"":""chartseries"",""title"":""ChartSeries"",""description"":""Configuration for a data series within a chart component, specifying data source, visualization type, colors, and legend properties. Defines how data is visualized in charts."",""required_attribute_count"":2,""total_attribute_count"":6}"
"ux.componentinstance",SpecNode;SpecNode_ux,"{""spec_node_id"":""ux.componentinstance"",""layer_id"":""ux"",""type"":""componentinstance"",""title"":""ComponentInstance"",""description"":""Instance of a LibraryComponent with application-specific configuration"",""required_attribute_count"":0,""total_attribute_count"":3}"
"ux.componentreference",SpecNode;SpecNode_ux,"{""spec_node_id"":""ux.componentreference"",""layer_id"":""ux"",""type"":""componentreference"",""title"":""ComponentReference"",""description"":""A declarative placeholder in a parent component's named slot, pointing to another component to be rendered there. Unlike ComponentInstance (a concrete rendered occurrence), ComponentReference is a composition declaration that says 'render this component in this slot of the parent', analogous to the HTML slot element."",""required_attribute_count"":1,""total_attribute_count"":3}"
"ux.dataconfig",SpecNode;SpecNode_ux,"{""spec_node_id"":""ux.dataconfig"",""layer_id"":""ux"",""type"":""dataconfig"",""title"":""DataConfig"",""description"":""Configuration for data binding and state management within UI components, defining data sources, transformation pipelines, and update triggers. Manages component data flow."",""required_attribute_count"":2,""total_attribute_count"":3}"
"ux.errorconfig",SpecNode;SpecNode_ux,"{""spec_node_id"":""ux.errorconfig"",""layer_id"":""ux"",""type"":""errorconfig"",""title"":""ErrorConfig"",""description"":""Configuration for error handling and display within UI components, specifying error message formats, retry behavior, fallback content, and user guidance. Ensures consistent error UX."",""required_attribute_count"":0,""total_attribute_count"":4}"
"ux.experiencestate",SpecNode;SpecNode_ux,"{""spec_node_id"":""ux.experiencestate"",""layer_id"":""ux"",""type"":""experiencestate"",""title"":""ExperienceState"",""description"":""Distinct state that the experience can be in (works across all channels)"",""required_attribute_count"":0,""total_attribute_count"":9}"
"ux.layoutconfig",SpecNode;SpecNode_ux,"{""spec_node_id"":""ux.layoutconfig"",""layer_id"":""ux"",""type"":""layoutconfig"",""title"":""LayoutConfig"",""description"":""Configuration for UI layout structure, defining grid systems, responsive breakpoints, spacing rules, and component arrangement patterns. Controls visual organization of the interface."",""required_attribute_count"":1,""total_attribute_count"":16}"
"ux.librarycomponent",SpecNode;SpecNode_ux,"{""spec_node_id"":""ux.librarycomponent"",""layer_id"":""ux"",""type"":""librarycomponent"",""title"":""LibraryComponent"",""description"":""Reusable UI component definition that can be instantiated in multiple UXSpecs"",""required_attribute_count"":1,""total_attribute_count"":8}"
"ux.librarysubview",SpecNode;SpecNode_ux,"{""spec_node_id"":""ux.librarysubview"",""layer_id"":""ux"",""type"":""librarysubview"",""title"":""LibrarySubView"",""description"":""Reusable, non-routable grouping of components intended to be composed into Views or other SubViews. Unlike View, LibrarySubView has no route and cannot be navigated to directly. It exists purely as a reusable composition unit, analogous to an HTML template element."",""required_attribute_count"":0,""total_attribute_count"":4}"
"ux.stateaction",SpecNode;SpecNode_ux,"{""spec_node_id"":""ux.stateaction"",""layer_id"":""ux"",""type"":""stateaction"",""title"":""StateAction"",""description"":""A concrete action bound to a specific ExperienceState lifecycle event. Instances are bound to a state and lifecycle hook; for reusable parameterizable definitions use StateActionTemplate. Examples: scroll-to-top (lifecycle: on-enter), focus-first-field (lifecycle: on-enter), dispatch-analytics-event (lifecycle: on-exit)."",""required_attribute_count"":1,""total_attribute_count"":4}"
"ux.stateactiontemplate",SpecNode;SpecNode_ux,"{""spec_node_id"":""ux.stateactiontemplate"",""layer_id"":""ux"",""type"":""stateactiontemplate"",""title"":""StateActionTemplate"",""description"":""A parameterizable, reusable definition of an action to execute during state transitions. StateActionTemplate is the definition; StateAction is the concrete usage bound to a specific ExperienceState and lifecycle hook. Example: a 'scroll-to-top' template with a 'targetId' parameter, instantiated as a StateAction on multiple states."",""required_attribute_count"":1,""total_attribute_count"":3}"
"ux.statepattern",SpecNode;SpecNode_ux,"{""spec_node_id"":""ux.statepattern"",""layer_id"":""ux"",""type"":""statepattern"",""title"":""StatePattern"",""description"":""Reusable state machine template for common UX interaction flows, composed of named ExperienceStates and transitions. Canonical examples: 'wizard' — multi-step form with back/next/submit transitions; 'optimistic-update' — loading → success/error with retry; 'tab-panel' — N peer states with tab-driven transitions; 'authenticated-route' — unauthenticated → redirect/login → authenticated."",""required_attribute_count"":0,""total_attribute_count"":3}"
"ux.statetransition",SpecNode;SpecNode_ux,"{""spec_node_id"":""ux.statetransition"",""layer_id"":""ux"",""type"":""statetransition"",""title"":""StateTransition"",""description"":""A directed edge in the ExperienceState machine, owned by its source ExperienceState. Specifies the trigger event, destination state, optional guard condition, and side-effect actions. The 'from' state is implicitly the ExperienceState that contains this transition via relationship."",""required_attribute_count"":1,""total_attribute_count"":5}"
"ux.subview",SpecNode;SpecNode_ux,"{""spec_node_id"":""ux.subview"",""layer_id"":""ux"",""type"":""subview"",""title"":""SubView"",""description"":""A non-routable UI fragment embedded within a parent View. Two usage modes: (1) Library instance — 'ref' is populated with a ux.librarysubview specNodeId, rendering that reusable fragment; (2) Inline definition — 'ref' is absent and the SubView defines its own composition inline. SubViews are not independently routable; use View for routable pages."",""required_attribute_count"":0,""total_attribute_count"":4}"
"ux.tablecolumn",SpecNode;SpecNode_ux,"{""spec_node_id"":""ux.tablecolumn"",""layer_id"":""ux"",""type"":""tablecolumn"",""title"":""TableColumn"",""description"":""Configuration for a single column within a data table component, specifying header, data binding, sorting, filtering, and rendering options. Defines table structure and behavior."",""required_attribute_count"":2,""total_attribute_count"":9}"
"ux.transitiontemplate",SpecNode;SpecNode_ux,"{""spec_node_id"":""ux.transitiontemplate"",""layer_id"":""ux"",""type"":""transitiontemplate"",""title"":""TransitionTemplate"",""description"":""Defines reusable animation and transition patterns for state changes, page navigation, or component lifecycle events. Ensures consistent motion design across the application."",""required_attribute_count"":2,""total_attribute_count"":6}"
"ux.uxapplication",SpecNode;SpecNode_ux,"{""spec_node_id"":""ux.uxapplication"",""layer_id"":""ux"",""type"":""uxapplication"",""title"":""UXApplication"",""description"":""Application-level UX configuration that groups UXSpecs and defines shared settings"",""required_attribute_count"":1,""total_attribute_count"":7}"
"ux.uxlibrary",SpecNode;SpecNode_ux,"{""spec_node_id"":""ux.uxlibrary"",""layer_id"":""ux"",""type"":""uxlibrary"",""title"":""UXLibrary"",""description"":""Collection of reusable UI components and sub-views that can be shared across applications"",""required_attribute_count"":1,""total_attribute_count"":9}"
"ux.uxspec",SpecNode;SpecNode_ux,"{""spec_node_id"":""ux.uxspec"",""layer_id"":""ux"",""type"":""uxspec"",""title"":""UXSpec"",""description"":""Complete UX specification for a single experience (visual, voice, chat, SMS)"",""required_attribute_count"":0,""total_attribute_count"":7}"
"ux.view",SpecNode;SpecNode_ux,"{""spec_node_id"":""ux.view"",""layer_id"":""ux"",""type"":""view"",""title"":""View"",""description"":""Routable grouping of components (a complete user experience)"",""required_attribute_count"":1,""total_attribute_count"":6}"
"testing.contextvariation",SpecNode;SpecNode_testing,"{""spec_node_id"":""testing.contextvariation"",""layer_id"":""testing"",""type"":""contextvariation"",""title"":""ContextVariation"",""description"":""A distinct test type or environmental context under which a coverage target may be invoked, used to parameterize test design across different execution conditions (functional correctness, load behavior, security posture, regression state). Maps to environmental needs documented in IEEE 829-2008 test design specifications."",""required_attribute_count"":1,""total_attribute_count"":3}"
"testing.coverageexclusion",SpecNode;SpecNode_testing,"{""spec_node_id"":""testing.coverageexclusion"",""layer_id"":""testing"",""type"":""coverageexclusion"",""title"":""CoverageExclusion"",""description"":""A formally approved exclusion of a coverage target or requirement from the test coverage model, documenting the rationale, accepted risk, and accountable approver per test plan scope documentation in IEEE 829-2008."",""required_attribute_count"":3,""total_attribute_count"":6}"
"testing.coveragegap",SpecNode;SpecNode_testing,"{""spec_node_id"":""testing.coveragegap"",""layer_id"":""testing"",""type"":""coveragegap"",""title"":""CoverageGap"",""description"":""An identified deficit between required and achieved test coverage for a target or requirement, typically surfaced during test summary reporting per IEEE 829-2008. Gaps require remediation, risk acceptance (CoverageExclusion), or deferral."",""required_attribute_count"":2,""total_attribute_count"":5}"
"testing.coveragerequirement",SpecNode;SpecNode_testing,"{""spec_node_id"":""testing.coveragerequirement"",""layer_id"":""testing"",""type"":""coveragerequirement"",""title"":""CoverageRequirement"",""description"":""A specification of coverage criteria that must be satisfied for a TestCoverageTarget, defining which input partitions, context variations, and outcome categories must be exercised, per test design specification requirements in IEEE 829-2008."",""required_attribute_count"":1,""total_attribute_count"":3}"
"testing.coveragesummary",SpecNode;SpecNode_testing,"{""spec_node_id"":""testing.coveragesummary"",""layer_id"":""testing"",""type"":""coveragesummary"",""title"":""CoverageSummary"",""description"":""Aggregated coverage status across all targets and requirements within a test coverage model, suitable for test summary reporting."",""required_attribute_count"":3,""total_attribute_count"":5}"
"testing.environmentfactor",SpecNode;SpecNode_testing,"{""spec_node_id"":""testing.environmentfactor"",""layer_id"":""testing"",""type"":""environmentfactor"",""title"":""EnvironmentFactor"",""description"":""A specific environmental variable (OS version, network latency, locale setting, hardware configuration, dependency version) documented as affecting test behavior. Used to parameterize ContextVariation instances with concrete environmental constraints per IEEE 829-2008 environmental needs specification."",""required_attribute_count"":2,""total_attribute_count"":5}"
"testing.inputpartitionselection",SpecNode;SpecNode_testing,"{""spec_node_id"":""testing.inputpartitionselection"",""layer_id"":""testing"",""type"":""inputpartitionselection"",""title"":""InputPartitionSelection"",""description"":""A specification of which values from an InputSpacePartition must be exercised within a CoverageRequirement, supporting selective coverage of equivalence classes per IEEE 829-2008 test design specification. When coverAllCategories is true, all partition values are included except those in excludeValues; otherwise, only the values listed in coverValues are included."",""required_attribute_count"":4,""total_attribute_count"":4}"
"testing.inputselection",SpecNode;SpecNode_testing,"{""spec_node_id"":""testing.inputselection"",""layer_id"":""testing"",""type"":""inputselection"",""title"":""InputSelection"",""description"":""A concrete input value assignment for a TestCaseSketch, binding an abstract partition representative value (selectedValue) to a specific concrete test datum (concreteValue), per test case input specification in IEEE 829-2008."",""required_attribute_count"":4,""total_attribute_count"":4}"
"testing.inputspacepartition",SpecNode;SpecNode_testing,"{""spec_node_id"":""testing.inputspacepartition"",""layer_id"":""testing"",""type"":""inputspacepartition"",""title"":""InputSpacePartition"",""description"":""Partitioning of an input dimension into testable equivalence classes, where each entry in the partitions array represents a PartitionValue (an equivalence class with a label, category, and representative value), enabling structured coverage analysis per IEEE 829-2008 equivalence partitioning guidance."",""required_attribute_count"":2,""total_attribute_count"":3}"
"testing.outcomecategory",SpecNode;SpecNode_testing,"{""spec_node_id"":""testing.outcomecategory"",""layer_id"":""testing"",""type"":""outcomecategory"",""title"":""OutcomeCategory"",""description"":""An abstract category of observable outcomes (e.g., success, validation error, authorization error, timeout) associated with a TestCoverageTarget, used during test design to organize expected results before test case specification per IEEE 829-2008. Distinguished from specific assertions — OutcomeCategory defines the class of outcome, not the exact expected value."",""required_attribute_count"":1,""total_attribute_count"":2}"
"testing.partitiondependency",SpecNode;SpecNode_testing,"{""spec_node_id"":""testing.partitiondependency"",""layer_id"":""testing"",""type"":""partitiondependency"",""title"":""PartitionDependency"",""description"":""A constraint specifying how selection of a partition value in one field affects valid or available partition values in another field, enabling combinatorial test design to avoid invalid input combinations per IEEE 829-2008 test design specification."",""required_attribute_count"":4,""total_attribute_count"":5}"
"testing.partitionvalue",SpecNode;SpecNode_testing,"{""spec_node_id"":""testing.partitionvalue"",""layer_id"":""testing"",""type"":""partitionvalue"",""title"":""PartitionValue"",""description"":""An individual equivalence class within an InputSpacePartition, characterized by a label, representative value, and optional constraint expression, used to enumerate the testable categories of an input dimension per IEEE 829-2008 test design specification."",""required_attribute_count"":5,""total_attribute_count"":6}"
"testing.targetcoveragesummary",SpecNode;SpecNode_testing,"{""spec_node_id"":""testing.targetcoveragesummary"",""layer_id"":""testing"",""type"":""targetcoveragesummary"",""title"":""TargetCoverageSummary"",""description"":""Coverage metrics summary for a single test coverage target"",""required_attribute_count"":4,""total_attribute_count"":5}"
"testing.targetinputfield",SpecNode;SpecNode_testing,"{""spec_node_id"":""testing.targetinputfield"",""layer_id"":""testing"",""type"":""targetinputfield"",""title"":""TargetInputField"",""description"":""An association between a TestCoverageTarget and a specific input field of the target artifact, defining which InputSpacePartition applies to that field and documenting its coverage relevance per IEEE 829-2008 test case specification."",""required_attribute_count"":2,""total_attribute_count"":4}"
"testing.testcasesketch",SpecNode;SpecNode_testing,"{""spec_node_id"":""testing.testcasesketch"",""layer_id"":""testing"",""type"":""testcasesketch"",""title"":""TestCaseSketch"",""description"":""A design-time test case specification that selects concrete input partition values for a CoverageRequirement, serving as the bridge between test design (InputPartitionSelection) and executable test case specification per IEEE 829-2008. Exists in sketch (unimplemented) or implemented status — not yet tied to a specific test runner or execution framework."",""required_attribute_count"":1,""total_attribute_count"":5}"
"testing.testcoveragemodel",SpecNode;SpecNode_testing,"{""spec_node_id"":""testing.testcoveragemodel"",""layer_id"":""testing"",""type"":""testcoveragemodel"",""title"":""TestCoverageModel"",""description"":""The root artifact of a testing layer coverage specification, aggregating all TestCoverageTargets, InputSpacePartitions, ContextVariations, CoverageRequirements, and TestCaseSketches for an application. Corresponds to the test plan document structure in IEEE 829-2008, providing a single point of reference for coverage governance."",""required_attribute_count"":2,""total_attribute_count"":4}"
"testing.testcoveragetarget",SpecNode;SpecNode_testing,"{""spec_node_id"":""testing.testcoveragetarget"",""layer_id"":""testing"",""type"":""testcoveragetarget"",""title"":""TestCoverageTarget"",""description"":""An artifact or functionality that requires test coverage"",""required_attribute_count"":1,""total_attribute_count"":4}"
"technology.artifact",SpecNode;SpecNode_technology,"{""spec_node_id"":""technology.artifact"",""layer_id"":""technology"",""type"":""artifact"",""title"":""Artifact"",""description"":""A piece of data that is used or produced in a software development process, or by the deployment and operation of an IT system, such as a source file, executable, script, or configuration file."",""required_attribute_count"":1,""total_attribute_count"":4}"
"technology.communicationnetwork",SpecNode;SpecNode_technology,"{""spec_node_id"":""technology.communicationnetwork"",""layer_id"":""technology"",""type"":""communicationnetwork"",""title"":""CommunicationNetwork"",""description"":""A set of structures that connects nodes for the purpose of transmission, routing, and reception of data, such as a LAN, WAN, or VPN."",""required_attribute_count"":1,""total_attribute_count"":4}"
"technology.device",SpecNode;SpecNode_technology,"{""spec_node_id"":""technology.device"",""layer_id"":""technology"",""type"":""device"",""title"":""Device"",""description"":""A physical IT resource upon which system software and artifacts may be stored or deployed for execution, such as a server, workstation, mobile device, or IoT sensor."",""required_attribute_count"":1,""total_attribute_count"":4}"
"technology.node",SpecNode;SpecNode_technology,"{""spec_node_id"":""technology.node"",""layer_id"":""technology"",""type"":""node"",""title"":""Node"",""description"":""A computational or physical resource that hosts, manipulates, or interacts with other computational or physical resources, such as a server cluster, virtual machine host, or container runtime."",""required_attribute_count"":1,""total_attribute_count"":4}"
"technology.path",SpecNode;SpecNode_technology,"{""spec_node_id"":""technology.path"",""layer_id"":""technology"",""type"":""path"",""title"":""Path"",""description"":""A link between two or more nodes through which those nodes can exchange data, representing a logical communication channel such as a network route, API connection, or message channel."",""required_attribute_count"":1,""total_attribute_count"":4}"
"technology.systemsoftware",SpecNode;SpecNode_technology,"{""spec_node_id"":""technology.systemsoftware"",""layer_id"":""technology"",""type"":""systemsoftware"",""title"":""SystemSoftware"",""description"":""Software that provides or contributes to an environment for storing, executing, and using other software or data deployed within it, such as an operating system, container runtime, database engine, or middleware platform."",""required_attribute_count"":1,""total_attribute_count"":4}"
"technology.technologycollaboration",SpecNode;SpecNode_technology,"{""spec_node_id"":""technology.technologycollaboration"",""layer_id"":""technology"",""type"":""technologycollaboration"",""title"":""TechnologyCollaboration"",""description"":""An aggregate of two or more technology active structure elements that work together to perform collective technology behavior, such as a cluster of servers, a distributed cache, or a microservice mesh."",""required_attribute_count"":0,""total_attribute_count"":3}"
"technology.technologyevent",SpecNode;SpecNode_technology,"{""spec_node_id"":""technology.technologyevent"",""layer_id"":""technology"",""type"":""technologyevent"",""title"":""TechnologyEvent"",""description"":""A technology behavior element that denotes a state change in the technology layer that triggers or results from technology behavior, such as a system alert, infrastructure notification, scheduled job trigger, or deployment completion signal."",""required_attribute_count"":1,""total_attribute_count"":4}"
"technology.technologyfunction",SpecNode;SpecNode_technology,"{""spec_node_id"":""technology.technologyfunction"",""layer_id"":""technology"",""type"":""technologyfunction"",""title"":""TechnologyFunction"",""description"":""A collection of technology behavior that can be performed by a node, representing an internal automated capability such as data replication, load balancing, or log rotation."",""required_attribute_count"":0,""total_attribute_count"":3}"
"technology.technologyinteraction",SpecNode;SpecNode_technology,"{""spec_node_id"":""technology.technologyinteraction"",""layer_id"":""technology"",""type"":""technologyinteraction"",""title"":""TechnologyInteraction"",""description"":""A unit of collective technology behavior performed by two or more collaborating nodes, such as a distributed transaction, inter-service handshake, or cluster failover protocol."",""required_attribute_count"":0,""total_attribute_count"":3}"
"technology.technologyinterface",SpecNode;SpecNode_technology,"{""spec_node_id"":""technology.technologyinterface"",""layer_id"":""technology"",""type"":""technologyinterface"",""title"":""TechnologyInterface"",""description"":""Point of access where technology services are available"",""required_attribute_count"":1,""total_attribute_count"":4}"
"technology.technologyprocess",SpecNode;SpecNode_technology,"{""spec_node_id"":""technology.technologyprocess"",""layer_id"":""technology"",""type"":""technologyprocess"",""title"":""TechnologyProcess"",""description"":""A sequence of technology behaviors that achieves a specific technology result, such as a deployment pipeline, backup job, certificate renewal workflow, or container orchestration sequence."",""required_attribute_count"":0,""total_attribute_count"":3}"
"technology.technologyservice",SpecNode;SpecNode_technology,"{""spec_node_id"":""technology.technologyservice"",""layer_id"":""technology"",""type"":""technologyservice"",""title"":""TechnologyService"",""description"":""Externally visible unit of technology functionality"",""required_attribute_count"":1,""total_attribute_count"":4}"
"security.accesscondition",SpecNode;SpecNode_security,"{""spec_node_id"":""security.accesscondition"",""layer_id"":""security"",""type"":""accesscondition"",""title"":""AccessCondition"",""description"":""Defines a single boolean predicate evaluated against a request context attribute (field), comparing the runtime value using a specified operator. Composed inside a PolicyRule condition chain to form compound access control expressions."",""required_attribute_count"":5,""total_attribute_count"":5}"
